ID,Real_C1,Real_C2,Real_C3,Real_C4,Real_C5,Real_C6,Real_C7,Real_C8,Recovered_C1,Recovered_C2,Recovered_C3,Recovered_C4,Recovered_C5,Recovered_C6,Recovered_C7,Recovered_C8
1,0.49382716,0.307692308,0.641025641,0.916666667,1,0.533333333,0.974358974,0.153846154,0.592592593,0.230769231,0.769230769,0.638888889,0.9,0.433333333,0.871794872,0.205128205
2,0.987654321,0.974358974,0.769230769,1,0.733333333,0.8,0.692307692,0.897435897,0.913580247,0.871794872,0.871794872,0.861111111,0.733333333,0.633333333,0.615384615,0.692307692
3,0.975308642,0.948717949,1,1,0.965517241,0.166666667,1,0.128205128,0.975308642,0.948717949,1,0.805555556,1,0.166666667,1,0.102564103
4,0.679012346,0.769230769,0.58974359,1,0.966666667,0.6,0.948717949,0.461538462,0.728395062,0.717948718,0.641025641,0.833333333,0.933333333,0.533333333,0.871794872,0.435897436
5,0.24691358,0.256410256,0.102564103,0.972222222,1,0.466666667,0.846153846,0.205128205,0.382716049,0.205128205,0.333333333,0.666666667,0.7,0.433333333,0.769230769,0.230769231
6,0.234567901,0.358974359,0.256410256,0.944444444,0.966666667,0.533333333,1,0.743589744,0.320987654,0.384615385,0.384615385,0.861111111,0.966666667,0.466666667,0.948717949,0.769230769
7,1,1,1,1,1,0.4,0.973684211,0.58974359,0.962962963,0.974358974,1,0.944444444,1,0.433333333,0.947368421,0.692307692
8,0.259259259,0.102564103,0.205128205,0.833333333,0.833333333,0.266666667,0.974358974,0.025641026,0.308641975,0.128205128,0.384615385,0.444444444,0.666666667,0.2,0.871794872,0.025641026
9,0.644736842,0.571428571,0.722222222,0.71875,0.590909091,0.518518519,0.405405405,0.6,0.526315789,0.514285714,0.75,0.5,0.636363636,0.62962963,0.459459459,0.428571429
10,0.802469136,0.358974359,0.897435897,0.972222222,0.933333333,0.266666667,0.974358974,0.076923077,0.75308642,0.41025641,0.948717949,0.777777778,0.833333333,0.2,0.948717949,0.102564103
11,0.64556962,0.871794872,0.552631579,1,0.896551724,0.8,0.846153846,0.5,0.759493671,0.820512821,0.657894737,0.828571429,0.620689655,0.766666667,0.820512821,0.5
12,0.209876543,0.102564103,0.102564103,0.555555556,0.4,0.4,0.743589744,0.307692308,0.185185185,0.128205128,0.102564103,0.611111111,0.4,0.266666667,0.692307692,0.384615385
13,0.012345679,0,0.025641026,0.111111111,0.033333333,0.5,0.051282051,0.384615385,0.037037037,0,0,0.416666667,0.1,0.6,0.051282051,0.333333333
14,0.209876543,0.256410256,0.025641026,0.138888889,0,0.6,0.025641026,0.41025641,0.185185185,0.179487179,0.102564103,0.388888889,0.233333333,0.866666667,0.128205128,0.461538462
15,0.111111111,0.179487179,0.128205128,0.444444444,0.166666667,0.666666667,0.205128205,0.564102564,0.185185185,0.128205128,0.025641026,0.305555556,0.166666667,0.8,0.128205128,0.641025641
16,0.962962963,1,1,1,1,0.3,1,0.820512821,0.950617284,0.974358974,1,0.833333333,1,0.266666667,0.974358974,0.820512821
17,0.62962963,0.897435897,0.342105263,0.972222222,0.571428571,0.933333333,0.435897436,0.657894737,0.617283951,0.871794872,0.447368421,0.888888889,0.642857143,0.833333333,0.435897436,0.631578947
18,0.185185185,0.179487179,0.282051282,0.972222222,0.966666667,0.333333333,0.974358974,0.461538462,0.296296296,0.128205128,0.512820513,0.666666667,0.766666667,0.166666667,0.717948718,0.487179487
19,0.790123457,0.794871795,0.846153846,0.888888889,0.9,0.633333333,0.692307692,0.282051282,0.75308642,0.820512821,0.846153846,0.888888889,0.9,0.633333333,0.461538462,0.461538462
20,0.975308642,1,0.948717949,0.944444444,0.866666667,0.689655172,0.846153846,0.684210526,0.962962963,0.846153846,1,0.888888889,0.9,0.620689655,0.871794872,0.421052632
21,0.87654321,0.564102564,0.205128205,0.916666667,0.4,0.966666667,0.153846154,0.333333333,0.814814815,0.512820513,0.41025641,0.805555556,0.3,0.966666667,0.128205128,0.282051282
22,0.938271605,1,0.897435897,1,0.966666667,0.6,0.897435897,0.564102564,0.901234568,1,0.948717949,0.916666667,0.9,0.6,0.846153846,0.58974359
23,0.7875,0.666666667,0.358974359,0.916666667,0.8,0.7,0.717948718,0.307692308,0.875,0.615384615,0.41025641,0.861111111,0.666666667,0.7,0.717948718,0.384615385
24,0.160493827,0.102564103,0.102564103,0.944444444,0.633333333,0.7,0.820512821,0.153846154,0.296296296,0.051282051,0.102564103,0.722222222,0.566666667,0.4,0.641025641,0.153846154
